run,loss,accuracy,absence,absence_perc,linear,linear_perc,train_size
1,0.00039697236148640515,1.0,50,100.0,50,100.0,500
2,0.0002338737016543746,1.0,50,100.0,50,100.0,500
3,0.00023971665068529547,1.0,50,100.0,50,100.0,500
4,0.00020331303356215357,1.0,50,100.0,50,100.0,500
5,0.0002101176933501847,1.0,50,100.0,50,100.0,500
6,0.0002091480843955651,1.0,50,100.0,50,100.0,500
7,0.00025719282566569743,1.0,50,100.0,50,100.0,500
8,0.0003469464462250471,1.0,50,100.0,50,100.0,500
9,0.0002015611040405929,1.0,50,100.0,50,100.0,500
10,0.0002844557526987046,1.0,50,100.0,50,100.0,500
11,0.0002548618326545693,1.0,50,100.0,50,100.0,500
12,0.0003087033936753869,1.0,50,100.0,50,100.0,500
13,0.0005527245544362813,1.0,50,100.0,50,100.0,500
14,0.00030913871567463504,1.0,50,100.0,50,100.0,500
15,0.00023875747458077968,1.0,50,100.0,50,100.0,500
16,0.00027924018446356057,1.0,50,100.0,50,100.0,500
17,0.00027993094525299964,1.0,50,100.0,50,100.0,500
18,0.0002347038104198873,1.0,50,100.0,50,100.0,500
19,0.00031191084301099184,1.0,50,100.0,50,100.0,500
20,0.00023481023963540794,1.0,50,100.0,50,100.0,500
21,0.00028035098395776006,1.0,50,100.0,50,100.0,500
22,0.0002667499310337007,1.0,50,100.0,50,100.0,500
23,0.00028848650341387836,1.0,50,100.0,50,100.0,500
24,0.00034791875688824805,1.0,50,100.0,50,100.0,500
25,0.0002731957263313234,1.0,50,100.0,50,100.0,500
26,0.00021109243971295655,1.0,50,100.0,50,100.0,500
27,0.00029759853379800915,1.0,50,100.0,50,100.0,500
28,0.00021063453401438893,1.0,50,100.0,50,100.0,500
29,0.0002326965966494754,1.0,50,100.0,50,100.0,500
30,0.0002388939762022346,1.0,50,100.0,50,100.0,500
31,0.00021893338416703045,1.0,50,100.0,50,100.0,500
32,0.00043515973316971213,1.0,50,100.0,50,100.0,500
33,0.00023849637829698623,1.0,50,100.0,50,100.0,500
34,0.00022026600781828166,1.0,50,100.0,50,100.0,500
35,0.00023424096405506135,1.0,50,100.0,50,100.0,500
36,0.00022531005670316516,1.0,50,100.0,50,100.0,500
37,0.00019900592626072465,1.0,50,100.0,50,100.0,500
38,0.0002181150997057557,1.0,50,100.0,50,100.0,500
39,0.000331778553663753,1.0,50,100.0,50,100.0,500
40,0.00043017947406042366,1.0,50,100.0,50,100.0,500
41,0.0003540483390679583,1.0,50,100.0,50,100.0,500
42,0.00021027913549914956,1.0,50,100.0,50,100.0,500
43,0.00030564681510441004,1.0,50,100.0,50,100.0,500
44,0.000334719552192837,1.0,50,100.0,50,100.0,500
45,0.0002732924971496686,1.0,50,100.0,50,100.0,500
46,0.0003435114724561572,1.0,50,100.0,50,100.0,500
47,0.00032285982742905615,1.0,50,100.0,50,100.0,500
48,0.0003862093371571973,1.0,50,100.0,50,100.0,500
49,0.00019297602004371582,1.0,50,100.0,50,100.0,500
50,0.00024296784074977041,1.0,50,100.0,50,100.0,500
51,0.00022763963788747789,1.0,50,100.0,50,100.0,500
52,0.00022597358794882895,1.0,50,100.0,50,100.0,500
53,0.00024893276451621205,1.0,50,100.0,50,100.0,500
54,0.00037147459806874394,1.0,50,100.0,50,100.0,500
55,0.00028832122683525085,1.0,50,100.0,50,100.0,500
56,0.0002660293504595757,1.0,50,100.0,50,100.0,500
57,0.0002811431232839823,1.0,50,100.0,50,100.0,500
58,0.0003839458216680214,1.0,50,100.0,50,100.0,500
59,0.00032835219870321454,1.0,50,100.0,50,100.0,500
60,0.0002753811294678599,1.0,50,100.0,50,100.0,500
61,0.0002371179428882897,1.0,50,100.0,50,100.0,500
62,0.0002495499968063086,1.0,50,100.0,50,100.0,500
63,0.0005025836173444987,1.0,50,100.0,50,100.0,500
64,0.00032006419729441405,1.0,50,100.0,50,100.0,500
65,0.0002725216269027442,1.0,50,100.0,50,100.0,500
66,0.0002814789972035214,1.0,50,100.0,50,100.0,500
67,0.0002463020384311676,1.0,50,100.0,50,100.0,500
68,0.00031473613053094595,1.0,50,100.0,50,100.0,500
69,0.00039900414645671845,1.0,50,100.0,50,100.0,500
70,0.00025620167143642903,1.0,50,100.0,50,100.0,500
71,0.00022540973266586663,1.0,50,100.0,50,100.0,500
72,0.0002473543962696567,1.0,50,100.0,50,100.0,500
73,0.0003448422875953838,1.0,50,100.0,50,100.0,500
74,0.00019540700246579946,1.0,50,100.0,50,100.0,500
75,0.0002862336742691696,1.0,50,100.0,50,100.0,500
76,0.00022805540822446347,1.0,50,100.0,50,100.0,500
77,0.0002756571013014764,1.0,50,100.0,50,100.0,500
78,0.0002621761936461553,1.0,50,100.0,50,100.0,500
79,0.00031653916114009916,1.0,50,100.0,50,100.0,500
80,0.00034188346267910674,1.0,50,100.0,50,100.0,500
81,0.00025046966038644314,1.0,50,100.0,50,100.0,500
82,0.0002343090594513342,1.0,50,100.0,50,100.0,500
83,0.0002773267345037311,1.0,50,100.0,50,100.0,500
84,0.00023905285284854473,1.0,50,100.0,50,100.0,500
85,0.00022749965195544063,1.0,50,100.0,50,100.0,500
86,0.00035685651702806355,1.0,50,100.0,50,100.0,500
87,0.00023683878243900834,1.0,50,100.0,50,100.0,500
88,0.0002704718866152689,1.0,50,100.0,50,100.0,500
89,0.0007872753613628447,1.0,50,100.0,50,100.0,500
90,0.00024171370081603526,1.0,50,100.0,50,100.0,500
91,0.0002144304203102365,1.0,50,100.0,50,100.0,500
92,0.00018736408732365816,1.0,50,100.0,50,100.0,500
93,0.0003049998730421066,1.0,50,100.0,50,100.0,500
94,0.000240169262397103,1.0,50,100.0,50,100.0,500
95,0.00038486616918817165,1.0,50,100.0,50,100.0,500
96,0.0003372274187859148,1.0,50,100.0,50,100.0,500
97,0.00024588720756582913,1.0,50,100.0,50,100.0,500
98,0.0002676545176655054,1.0,50,100.0,50,100.0,500
99,0.00023118543322198093,1.0,50,100.0,50,100.0,500
100,0.00029720050282776354,1.0,50,100.0,50,100.0,500
